severity_control,algorithm,responders_from,responders_to,responders_added,reachability_gain_pct_points,reachability_gain_per_added_responder,unmet_demand_reduction,collapse_probability_reduction_pct_points
0.1,global_min_cost,8,10,2,14.599999999999994,7.299999999999997,4.41,0.0
0.1,global_min_cost,10,12,2,2.8000000000000114,1.4000000000000057,0.96,0.0
0.1,global_min_cost,12,14,2,0.19999999999998863,0.09999999999999432,0.06999999999999984,0.0
0.1,global_min_cost,14,16,2,0.0,0.0,0.0,0.0
0.1,global_min_cost,16,20,4,0.10000000000000853,0.02500000000000213,0.030000000000000027,0.0
0.1,global_min_cost,20,24,4,0.09999999999999432,0.02499999999999858,0.050000000000000044,0.0
0.1,global_min_cost,24,32,8,0.0,0.0,0.0,0.0
0.1,greedy,8,10,2,14.5,7.25,4.25,0.0
0.1,greedy,10,12,2,2.799999999999997,1.3999999999999986,0.75,0.0
0.1,greedy,12,14,2,0.20000000000000284,0.10000000000000142,0.06000000000000005,0.0
0.1,greedy,14,16,2,0.0,0.0,0.0,0.0
0.1,greedy,16,20,4,0.20000000000000284,0.05000000000000071,0.06999999999999984,0.0
0.1,greedy,20,24,4,0.09999999999999432,0.02499999999999858,0.050000000000000044,0.0
0.1,greedy,24,32,8,0.0,0.0,0.0,0.0
0.12,global_min_cost,8,10,2,13.5,6.75,4.0,0.0
0.12,global_min_cost,10,12,2,4.1000000000000085,2.0500000000000043,1.4000000000000004,0.0
0.12,global_min_cost,12,14,2,1.0,0.5,0.2799999999999998,0.0
0.12,global_min_cost,14,16,2,0.20000000000000284,0.10000000000000142,0.06999999999999984,0.0
0.12,global_min_cost,16,20,4,0.09999999999999432,0.02499999999999858,0.03000000000000025,0.0
0.12,global_min_cost,20,24,4,0.20000000000000284,0.05000000000000071,0.10000000000000009,0.0
0.12,global_min_cost,24,32,8,0.0,0.0,0.0,0.0
0.12,greedy,8,10,2,13.400000000000006,6.700000000000003,3.92,0.0
0.12,greedy,10,12,2,4.0,2.0,1.13,0.0
0.12,greedy,12,14,2,1.0999999999999943,0.5499999999999972,0.31999999999999984,0.0
0.12,greedy,14,16,2,0.20000000000000284,0.10000000000000142,0.06000000000000005,0.0
0.12,greedy,16,20,4,0.20000000000000284,0.05000000000000071,0.06999999999999984,0.0
0.12,greedy,20,24,4,0.19999999999998863,0.04999999999999716,0.10000000000000009,0.0
0.12,greedy,24,32,8,0.0,0.0,0.0,0.0
0.13,global_min_cost,8,10,2,12.299999999999997,6.149999999999999,3.6800000000000006,0.0
0.13,global_min_cost,10,12,2,3.799999999999997,1.8999999999999986,1.2799999999999998,0.0
0.13,global_min_cost,12,14,2,1.3000000000000114,0.6500000000000057,0.3500000000000001,0.0
0.13,global_min_cost,14,16,2,0.29999999999999716,0.14999999999999858,0.08999999999999986,0.0
0.13,global_min_cost,16,20,4,0.29999999999999716,0.07499999999999929,0.1499999999999999,0.0
0.13,global_min_cost,20,24,4,0.5,0.125,0.20000000000000018,0.0
0.13,global_min_cost,24,32,8,0.20000000000000284,0.025000000000000355,0.06000000000000005,0.0
0.13,greedy,8,10,2,12.200000000000003,6.100000000000001,3.709999999999999,0.0
0.13,greedy,10,12,2,3.700000000000003,1.8500000000000014,1.0700000000000003,0.0
0.13,greedy,12,14,2,1.2999999999999972,0.6499999999999986,0.36999999999999966,0.0
0.13,greedy,14,16,2,0.29999999999999716,0.14999999999999858,0.07000000000000028,0.0
0.13,greedy,16,20,4,0.7000000000000028,0.1750000000000007,0.22999999999999998,0.0
0.13,greedy,20,24,4,0.5,0.125,0.19999999999999973,0.0
0.13,greedy,24,32,8,0.20000000000000284,0.025000000000000355,0.06000000000000005,0.0
0.14,global_min_cost,8,10,2,12.0,6.0,3.7300000000000004,0.0
0.14,global_min_cost,10,12,2,4.3999999999999915,2.1999999999999957,1.4299999999999997,0.0
0.14,global_min_cost,12,14,2,1.7000000000000028,0.8500000000000014,0.4500000000000002,0.0
0.14,global_min_cost,14,16,2,0.7999999999999972,0.3999999999999986,0.16000000000000014,0.0
0.14,global_min_cost,16,20,4,0.29999999999999716,0.07499999999999929,0.1499999999999999,0.0
0.14,global_min_cost,20,24,4,0.5,0.125,0.20000000000000018,0.0
0.14,global_min_cost,24,32,8,0.30000000000001137,0.03750000000000142,0.10000000000000009,0.0
0.14,greedy,8,10,2,12.0,6.0,3.8499999999999988,0.0
0.14,greedy,10,12,2,4.299999999999997,2.1499999999999986,1.1500000000000004,0.0
0.14,greedy,12,14,2,1.7000000000000028,0.8500000000000014,0.54,0.0
0.14,greedy,14,16,2,1.0,0.5,0.25,0.0
0.14,greedy,16,20,4,0.29999999999999716,0.07499999999999929,0.10999999999999988,0.0
0.14,greedy,20,24,4,0.5999999999999943,0.14999999999999858,0.2400000000000002,0.0
0.14,greedy,24,32,8,0.30000000000001137,0.03750000000000142,0.10000000000000009,0.0
0.15,global_min_cost,8,10,2,12.0,6.0,3.889999999999999,0.0
0.15,global_min_cost,10,12,2,5.299999999999997,2.6499999999999986,1.6500000000000004,0.0
0.15,global_min_cost,12,14,2,1.7999999999999972,0.8999999999999986,0.4500000000000002,0.0
0.15,global_min_cost,14,16,2,0.7000000000000028,0.3500000000000014,0.1499999999999999,0.0
0.15,global_min_cost,16,20,4,0.7000000000000028,0.1750000000000007,0.2200000000000002,0.0
0.15,global_min_cost,20,24,4,0.3999999999999915,0.09999999999999787,0.1599999999999997,0.0
0.15,global_min_cost,24,32,8,0.4000000000000057,0.05000000000000071,0.14000000000000012,0.0
0.15,greedy,8,10,2,12.0,6.0,3.8400000000000007,0.0
0.15,greedy,10,12,2,5.300000000000011,2.6500000000000057,1.4699999999999998,0.0
0.15,greedy,12,14,2,1.6999999999999886,0.8499999999999943,0.5499999999999998,0.0
0.15,greedy,14,16,2,0.9000000000000057,0.45000000000000284,0.22999999999999998,0.0
0.15,greedy,16,20,4,0.7999999999999972,0.1999999999999993,0.2100000000000004,0.0
0.15,greedy,20,24,4,0.5,0.125,0.19999999999999973,0.0
0.15,greedy,24,32,8,0.4000000000000057,0.05000000000000071,0.14000000000000012,0.0
0.16,global_min_cost,8,10,2,11.100000000000009,5.550000000000004,3.6399999999999997,0.0
