severity_control,responder_count,algorithm,n_realizations,mean_reachability_pct,mean_weighted_unmet_demand,mean_total_response_s,mean_p90_response_s,collapse_probability_pct,target_service_probability_pct,zero_assignment_probability_pct,mean_failed_directed_edges
0.1,8,global_min_cost,100,76.0,7.29,4515.93044007926,1116.4529753182458,0.0,67.0,0.0,1142.41
0.1,8,greedy,100,76.0,6.94,6296.803622700865,1552.451260275124,0.0,67.0,0.0,1142.41
0.1,10,global_min_cost,100,90.6,2.88,5526.754990717027,1177.0003224662153,0.0,95.0,0.0,1142.41
0.1,10,greedy,100,90.5,2.69,6665.272998361099,1380.6433240911604,0.0,95.0,0.0,1142.41
0.1,12,global_min_cost,100,93.4,1.92,4712.682219697786,968.743176487039,0.0,97.0,0.0,1142.41
0.1,12,greedy,100,93.3,1.94,5371.600870835154,1080.063534317333,0.0,97.0,0.0,1142.41
0.1,14,global_min_cost,100,93.6,1.85,3913.3493913503644,780.382771512602,0.0,97.0,0.0,1142.41
0.1,14,greedy,100,93.5,1.88,4395.116247993656,872.4533987668091,0.0,97.0,0.0,1142.41
0.1,16,global_min_cost,100,93.6,1.85,3505.7579367327794,682.547615050937,0.0,97.0,0.0,1142.41
0.1,16,greedy,100,93.5,1.88,3841.3723376214284,764.7766718092421,0.0,97.0,0.0,1142.41
0.1,20,global_min_cost,100,93.7,1.82,2929.6040908133837,573.3582159490666,0.0,97.0,0.0,1142.41
0.1,20,greedy,100,93.7,1.81,3134.0096682209037,614.4575041824769,0.0,97.0,0.0,1142.41
0.1,24,global_min_cost,100,93.8,1.77,2556.3086571366484,491.9156326935929,0.0,97.0,0.0,1142.41
0.1,24,greedy,100,93.8,1.76,2707.310267702976,514.0556003563825,0.0,97.0,0.0,1142.41
0.1,32,global_min_cost,100,93.8,1.77,2128.1383478255266,410.73978199210154,0.0,97.0,0.0,1142.41
0.1,32,greedy,100,93.8,1.76,2224.421915594017,421.0372342204914,0.0,97.0,0.0,1142.41
0.12,8,global_min_cost,100,72.6,8.24,4821.081451847949,1297.2344376634508,0.0,45.0,0.0,1369.54
0.12,8,greedy,100,72.5,7.97,6650.619906407911,1747.5482702888228,0.0,45.0,0.0,1369.54
0.12,10,global_min_cost,100,86.1,4.24,5752.451308733481,1320.438585121981,0.0,85.0,0.0,1369.54
0.12,10,greedy,100,85.9,4.05,7013.408757615386,1577.307611052591,0.0,85.0,0.0,1369.54
0.12,12,global_min_cost,100,90.2,2.84,5096.704131003271,1115.4348501855047,0.0,92.0,0.0,1369.54
0.12,12,greedy,100,89.9,2.92,5842.2068042472665,1255.527448787845,0.0,91.0,0.0,1369.54
0.12,14,global_min_cost,100,91.2,2.56,4353.024174768551,910.8190912508368,0.0,92.0,0.0,1369.54
0.12,14,greedy,100,91.0,2.6,4905.012774117581,1026.2501733305999,0.0,91.0,0.0,1369.54
0.12,16,global_min_cost,100,91.4,2.49,3846.9047646977665,783.6619895844269,0.0,92.0,0.0,1369.54
0.12,16,greedy,100,91.2,2.54,4211.80722511569,863.1635953036038,0.0,91.0,0.0,1369.54
0.12,20,global_min_cost,100,91.5,2.46,3145.022276574241,632.5457359237297,0.0,92.0,0.0,1369.54
0.12,20,greedy,100,91.4,2.47,3323.882225105291,668.4336299124197,0.0,92.0,0.0,1369.54
0.12,24,global_min_cost,100,91.7,2.36,2726.4617392699847,546.1662238895987,0.0,92.0,0.0,1369.54
0.12,24,greedy,100,91.6,2.37,2872.3706753418064,562.4232674465788,0.0,92.0,0.0,1369.54
0.12,32,global_min_cost,100,91.7,2.36,2217.546529480895,439.88591710333117,0.0,92.0,0.0,1369.54
0.12,32,greedy,100,91.6,2.37,2308.478197964837,450.1848547454767,0.0,92.0,0.0,1369.54
0.13,8,global_min_cost,100,71.0,8.65,4733.646577901331,1299.4408583340578,0.0,41.0,0.0,1483.97
0.13,8,greedy,100,70.8,8.54,6483.564682482969,1752.6239321470637,0.0,40.0,0.0,1483.97
0.13,10,global_min_cost,100,83.3,4.97,5447.232222174469,1296.6774794240662,0.0,76.0,0.0,1483.97
0.13,10,greedy,100,83.0,4.83,6631.791602896426,1541.2262539209064,0.0,76.0,0.0,1483.97
0.13,12,global_min_cost,100,87.1,3.69,4875.510382569673,1096.9240422607797,0.0,82.0,0.0,1483.97
0.13,12,greedy,100,86.7,3.76,5525.924000513547,1218.1060878324026,0.0,82.0,0.0,1483.97
0.13,14,global_min_cost,100,88.4,3.34,4296.061054013041,951.6475440127903,0.0,84.0,0.0,1483.97
0.13,14,greedy,100,88.0,3.39,4760.749165083047,1031.273675790018,0.0,84.0,0.0,1483.97
0.13,16,global_min_cost,100,88.7,3.25,3778.8561702969287,798.0459673641873,0.0,84.0,0.0,1483.97
0.13,16,greedy,100,88.3,3.32,4082.8070065656902,866.7852099850815,0.0,84.0,0.0,1483.97
0.13,20,global_min_cost,100,89.0,3.1,3097.620657422723,645.9385046834453,0.0,84.0,0.0,1483.97
0.13,20,greedy,100,89.0,3.09,3292.8655074292124,680.0462520571399,0.0,84.0,0.0,1483.97
0.13,24,global_min_cost,100,89.5,2.9,2703.076077227772,556.2234099212435,0.0,85.0,0.0,1483.97
0.13,24,greedy,100,89.5,2.89,2858.5761036401127,573.771200159486,0.0,85.0,0.0,1483.97
0.13,32,global_min_cost,100,89.7,2.84,2236.5466605179736,461.6763435947262,0.0,87.0,0.0,1483.97
0.13,32,greedy,100,89.7,2.83,2340.7928418937563,475.50870827681223,0.0,87.0,0.0,1483.97
0.14,8,global_min_cost,100,68.9,9.31,4778.242900102952,1313.2424911773799,0.0,36.0,0.0,1598.87
0.14,8,greedy,100,68.7,9.29,6689.648286587666,1862.4931522449751,0.0,35.0,0.0,1598.87
0.14,10,global_min_cost,100,80.9,5.58,5452.167832728678,1330.8619886970905,0.0,70.0,0.0,1598.87
0.14,10,greedy,100,80.7,5.44,6660.721804838745,1596.9997263974988,0.0,70.0,0.0,1598.87
0.14,12,global_min_cost,100,85.3,4.15,4983.700466053964,1124.18925293567,0.0,79.0,0.0,1598.87
0.14,12,greedy,100,85.0,4.29,5695.441789700936,1295.426150469768,0.0,79.0,0.0,1598.87
0.14,14,global_min_cost,100,87.0,3.7,4445.313649401655,999.2856509176759,0.0,83.0,0.0,1598.87
0.14,14,greedy,100,86.7,3.75,4952.382211355246,1093.0973469645935,0.0,83.0,0.0,1598.87
0.14,16,global_min_cost,100,87.8,3.54,3967.7378064459936,830.0524928105048,0.0,83.0,0.0,1598.87
0.14,16,greedy,100,87.7,3.5,4322.705270817693,921.7974464363693,0.0,83.0,0.0,1598.87
0.14,20,global_min_cost,100,88.1,3.39,3187.4571360798773,673.9329323294243,0.0,83.0,0.0,1598.87
0.14,20,greedy,100,88.0,3.39,3425.259443295084,718.0416577918626,0.0,83.0,0.0,1598.87
0.14,24,global_min_cost,100,88.6,3.19,2774.0097361031767,572.0421755078952,0.0,84.0,0.0,1598.87
0.14,24,greedy,100,88.6,3.15,2956.0389649612043,603.2937181597779,0.0,84.0,0.0,1598.87
0.14,32,global_min_cost,100,88.9,3.09,2292.6039598340685,473.2528433408485,0.0,86.0,0.0,1598.87
0.14,32,greedy,100,88.9,3.05,2407.6307914191266,495.61698270311894,0.0,86.0,0.0,1598.87
0.15,8,global_min_cost,100,66.4,10.12,4729.030859710871,1354.480175816736,0.0,23.0,0.0,1713.91
0.15,8,greedy,100,66.1,10.06,6505.615838268825,1867.0710547446363,0.0,23.0,0.0,1713.91
0.15,10,global_min_cost,100,78.4,6.23,5560.292487525872,1388.7500325354968,0.0,63.0,0.0,1713.91
0.15,10,greedy,100,78.1,6.22,6827.364451056915,1699.543231772213,0.0,61.0,0.0,1713.91
0.15,12,global_min_cost,100,83.7,4.58,5304.693880940117,1267.0303941926413,0.0,76.0,0.0,1713.91
0.15,12,greedy,100,83.4,4.75,6068.269180364819,1437.7188273680088,0.0,74.0,0.0,1713.91
0.15,14,global_min_cost,100,85.5,4.13,4688.75180800103,1087.7117768937055,0.0,80.0,0.0,1713.91
0.15,14,greedy,100,85.1,4.2,5175.077906654826,1184.1070618148399,0.0,78.0,0.0,1713.91
0.15,16,global_min_cost,100,86.2,3.98,4171.619042242795,922.4523221644055,0.0,81.0,0.0,1713.91
0.15,16,greedy,100,86.0,3.97,4545.464705515419,1001.9915582883772,0.0,80.0,0.0,1713.91
0.15,20,global_min_cost,100,86.9,3.76,3382.4782745123207,749.4715914239101,0.0,82.0,0.0,1713.91
0.15,20,greedy,100,86.8,3.76,3649.035212568771,806.7965810645438,0.0,82.0,0.0,1713.91
0.15,24,global_min_cost,100,87.3,3.6,2923.057740007225,647.6968419850214,0.0,83.0,0.0,1713.91
0.15,24,greedy,100,87.3,3.56,3136.504716383703,684.9951656465807,0.0,83.0,0.0,1713.91
0.15,32,global_min_cost,100,87.7,3.46,2371.461493530252,514.6456050347623,0.0,85.0,0.0,1713.91
0.15,32,greedy,100,87.7,3.42,2490.898975136621,540.6481505872267,0.0,85.0,0.0,1713.91
0.16,8,global_min_cost,100,64.1,10.92,4728.115373041776,1406.0384456892318,0.0,15.0,0.0,1828.56
0.16,8,greedy,100,63.7,10.62,6338.4124414805265,1883.5523363716304,0.0,15.0,0.0,1828.56
0.16,10,global_min_cost,100,75.2,7.28,5319.286838831639,1371.2041778809162,0.0,52.0,0.0,1828.56
0.16,10,greedy,100,74.9,7.22,6516.839496539003,1689.3578349924098,0.0,52.0,0.0,1828.56
0.16,12,global_min_cost,100,79.7,5.83,4927.155059654968,1207.8906580778394,0.0,62.0,0.0,1828.56
0.16,12,greedy,100,79.4,5.93,5535.735096079995,1346.0848248502775,0.0,62.0,0.0,1828.56
0.16,14,global_min_cost,100,82.1,5.12,4451.063304250169,1069.4883762866637,0.0,70.0,0.0,1828.56
0.16,14,greedy,100,81.7,5.22,4860.611824977254,1156.8247182642283,0.0,70.0,0.0,1828.56
0.16,16,global_min_cost,100,83.1,4.85,4012.853077767115,935.1979830364652,0.0,74.0,0.0,1828.56
0.16,16,greedy,100,82.9,4.88,4320.04510825995,985.2277909002495,0.0,74.0,0.0,1828.56
0.16,20,global_min_cost,100,84.1,4.53,3315.5897733004654,750.6405494153265,0.0,74.0,0.0,1828.56
0.16,20,greedy,100,83.9,4.6,3521.4469010501016,789.1417538396282,0.0,74.0,0.0,1828.56
0.16,24,global_min_cost,100,84.6,4.37,2871.9905707283124,652.3882317990362,0.0,76.0,0.0,1828.56
0.16,24,greedy,100,84.6,4.36,3038.637649570448,677.7812407385431,0.0,76.0,0.0,1828.56
0.16,32,global_min_cost,100,85.3,4.18,2338.729458227503,522.6895642707399,0.0,79.0,0.0,1828.56
0.16,32,greedy,100,85.3,4.17,2437.659194027304,545.0699914694344,0.0,79.0,0.0,1828.56
0.18,8,global_min_cost,100,57.8,12.85,4112.998771767042,1341.3917388616835,0.0,5.0,0.0,2053.8
0.18,8,greedy,100,57.4,12.77,5329.575969162057,1746.0953874762324,0.0,5.0,0.0,2053.8
0.18,10,global_min_cost,100,68.2,9.59,4710.262763843667,1345.3618243535957,0.0,28.000000000000004,0.0,2053.8
0.18,10,greedy,100,67.8,9.53,5555.875991053791,1564.547073089863,0.0,27.0,0.0,2053.8
0.18,12,global_min_cost,100,73.4,7.86,4560.965970238684,1209.565464922777,0.0,44.0,0.0,2053.8
0.18,12,greedy,100,72.9,8.12,5122.529756356489,1341.643803155686,0.0,43.0,0.0,2053.8
0.18,14,global_min_cost,100,76.4,6.96,4250.351240365248,1082.4804031797046,0.0,53.0,0.0,2053.8
0.18,14,greedy,100,75.8,7.17,4684.443073023853,1175.845963805068,0.0,52.0,0.0,2053.8
0.18,16,global_min_cost,100,77.8,6.56,3924.6697477345583,981.0839424536421,0.0,56.99999999999999,0.0,2053.8
0.18,16,greedy,100,77.5,6.63,4270.13367994595,1045.2823474599647,0.0,56.99999999999999,0.0,2053.8
0.18,20,global_min_cost,100,79.4,6.03,3243.308936756954,781.7264231113936,0.0,60.0,0.0,2053.8
0.18,20,greedy,100,79.0,6.09,3445.8719653966027,823.7982196625608,0.0,60.0,0.0,2053.8
0.18,24,global_min_cost,100,80.1,5.8,2798.470716819022,660.7636421433629,0.0,63.0,0.0,2053.8
0.18,24,greedy,100,80.1,5.78,2966.9959069463307,691.9998506766153,0.0,63.0,0.0,2053.8
0.18,32,global_min_cost,100,81.3,5.46,2268.4937768696977,521.8566345031343,0.0,68.0,0.0,2053.8
0.18,32,greedy,100,81.3,5.42,2349.6876636097877,535.983891251166,0.0,68.0,0.0,2053.8
0.2,8,global_min_cost,100,51.6,14.66,3491.004889035707,1211.0057639282202,0.0,2.0,0.0,2281.08
0.2,8,greedy,100,51.1,14.8,4519.634400191498,1573.832302352997,0.0,2.0,0.0,2281.08
0.2,10,global_min_cost,100,60.6,11.85,3955.5060239279956,1210.4873740506687,0.0,14.000000000000002,0.0,2281.08
0.2,10,greedy,100,60.1,11.85,4666.17024442659,1421.680888644936,0.0,14.000000000000002,0.0,2281.08
0.2,12,global_min_cost,100,66.0,10.17,3984.8161864636395,1155.3583934084058,0.0,28.999999999999996,0.0,2281.08
0.2,12,greedy,100,65.3,10.46,4511.821143356565,1283.5095082343405,0.0,28.000000000000004,0.0,2281.08
0.2,14,global_min_cost,100,69.5,9.02,3760.8792807626,1036.5296455881437,0.0,34.0,0.0,2281.08
0.2,14,greedy,100,68.6,9.22,4102.449018013415,1104.0298869407093,0.0,32.0,0.0,2281.08
0.2,16,global_min_cost,100,71.6,8.4,3616.600181831939,958.2777138332366,0.0,40.0,0.0,2281.08
0.2,16,greedy,100,70.9,8.52,3894.535370563023,1020.1023156057221,0.0,38.0,0.0,2281.08
0.2,20,global_min_cost,100,74.6,7.36,3175.2098080074607,816.8459475542315,0.0,49.0,0.0,2281.08
0.2,20,greedy,100,74.3,7.41,3398.3612623433205,862.5004048465277,0.0,48.0,0.0,2281.08
0.2,24,global_min_cost,100,75.7,7.11,2769.8970542463458,696.532003545181,0.0,53.0,0.0,2281.08
0.2,24,greedy,100,75.7,7.07,2968.122275097464,734.557465111524,0.0,53.0,0.0,2281.08
0.2,32,global_min_cost,100,77.6,6.59,2259.9529102444403,549.8478040734113,0.0,59.0,0.0,2281.08
0.2,32,greedy,100,77.6,6.53,2348.3222451861725,567.667373956085,0.0,59.0,0.0,2281.08
