severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.1,8,0,6060,greedy,1090,10,10,7,3,70.0,867.3921303195082,396.77612786376744,2068.285567316906,6071.744912236558,9
0.1,8,0,6060,global_min_cost,1090,10,10,7,3,70.0,378.6914883445631,285.98223679117393,679.5544286024634,2650.8404184119418,8
0.1,10,0,6060,greedy,1090,10,10,9,1,90.0,914.7866241859249,457.3377583373365,1716.7030662802927,8233.079617673326,3
0.1,10,0,6060,global_min_cost,1090,10,10,9,1,90.0,843.5408081194861,616.1753099257207,1687.0669776754946,7591.867273075374,3
0.1,12,0,6060,greedy,1090,10,10,9,1,90.0,473.8640088763979,314.93379735234674,876.7632724417526,4264.776079887581,3
0.1,12,0,6060,global_min_cost,1090,10,10,9,1,90.0,452.6299442778735,457.3377583373365,729.0319615324232,4073.6694985008617,3
0.1,14,0,6060,greedy,1090,10,10,9,1,90.0,449.00297628908294,314.93379735234674,829.4397970461682,4041.026786601746,3
0.1,14,0,6060,global_min_cost,1090,10,10,9,1,90.0,408.32652067421355,457.3377583373365,715.2157021662379,3674.938686067922,3
0.1,16,0,6060,greedy,1090,10,10,9,1,90.0,382.02113627870284,303.8167667726305,760.553256880819,3438.190226508326,3
0.1,16,0,6060,global_min_cost,1090,10,10,9,1,90.0,375.85628989741986,303.8167667726305,715.2157021662379,3382.706609076779,3
0.1,20,0,6060,greedy,1090,10,10,9,1,90.0,379.0360624944068,303.8167667726305,760.553256880819,3411.3245624496612,3
0.1,20,0,6060,global_min_cost,1090,10,10,9,1,90.0,372.8712161131238,303.8167667726305,715.2157021662379,3355.840945018115,3
0.1,24,0,6060,greedy,1090,10,10,9,1,90.0,261.4763534327251,285.98223679117393,394.7435927952803,2353.2871808945256,3
0.1,24,0,6060,global_min_cost,1090,10,10,9,1,90.0,261.4763534327251,251.0001891903391,392.65936421874375,2353.287180894525,3
0.1,32,0,6060,greedy,1090,10,10,9,1,90.0,207.43516676307408,208.039270340588,341.265509278012,1866.9165008676666,3
0.1,32,0,6060,global_min_cost,1090,10,10,9,1,90.0,206.25636319927375,202.4896130819899,341.265509278012,1856.3072687934637,3
0.12,8,0,6060,greedy,1325,10,10,7,3,70.0,495.72946341779436,287.27903620534664,1072.8866128962563,3470.1062439245607,8
0.12,8,0,6060,global_min_cost,1325,10,10,7,3,70.0,383.192031288527,287.27903620534664,699.6263853406915,2682.3442190196893,8
0.12,10,0,6060,greedy,1325,10,10,8,2,80.0,474.99197276456744,372.30839727134156,929.4372233346103,3799.935782116539,6
0.12,10,0,6060,global_min_cost,1325,10,10,8,2,80.0,470.55062693041066,536.7565341315287,749.0700487275867,3764.4050154432857,6
0.12,12,0,6060,greedy,1325,10,10,9,1,90.0,486.03051273791556,392.9285314982581,876.7632724417526,4374.27461464124,3
0.12,12,0,6060,global_min_cost,1325,10,10,9,1,90.0,463.11244641928664,457.3377583373365,735.3141818408482,4168.01201777358,3
0.12,14,0,6060,greedy,1325,10,10,9,1,90.0,459.88572724363723,367.39363631083086,854.5686782798675,4138.971545192735,3
0.12,14,0,6060,global_min_cost,1325,10,10,9,1,90.0,420.48787458764104,457.3377583373365,715.2157021662379,3784.390871288769,3
0.12,16,0,6060,greedy,1325,10,10,9,1,90.0,392.9038872332572,303.8167667726305,766.8354771892439,3536.1349850993147,3
0.12,16,0,6060,global_min_cost,1325,10,10,9,1,90.0,383.24891845840483,303.8167667726305,715.2157021662379,3449.2402661256433,3
0.12,20,0,6060,greedy,1325,10,10,9,1,90.0,389.91881344896115,303.8167667726305,766.8354771892439,3509.2693210406505,3
0.12,20,0,6060,global_min_cost,1325,10,10,9,1,90.0,380.2638446741088,303.8167667726305,715.2157021662379,3422.374602066979,3
0.12,24,0,6060,greedy,1325,10,10,9,1,90.0,329.1820532349411,286.02858632398556,742.2154502141623,2962.63847911447,3
0.12,24,0,6060,global_min_cost,1325,10,10,9,1,90.0,329.1820532349411,287.27903620534664,742.2154502141623,2962.6384791144696,3
0.12,32,0,6060,greedy,1325,10,10,9,1,90.0,265.6809832132906,208.039270340588,532.9189718274095,2391.128848919615,3
