algorithm,responder_count,severity_control,n_worlds,service_successes,service_probability_pct,wilson_low_pct,wilson_high_pct,monotone_service_probability_pct
global_min_cost,20,0.145,300,257,85.66666666666667,81.24994228503401,89.18152576761503,85.66666666666667
global_min_cost,20,0.15,300,245,81.66666666666667,76.89713823226987,85.63547359017554,81.66666666666667
global_min_cost,20,0.1525,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
global_min_cost,20,0.155,300,239,79.66666666666666,74.75056887150939,83.8326148358342,79.66666666666666
global_min_cost,20,0.1575,300,236,78.66666666666666,73.68372921361544,82.92474043617723,78.66666666666666
global_min_cost,20,0.16,300,232,77.33333333333333,72.26746795338673,81.70804961967141,77.33333333333333
global_min_cost,20,0.1625,300,227,75.66666666666667,70.5064816022118,80.17784587492817,75.66666666666667
global_min_cost,20,0.165,300,223,74.33333333333333,69.10470912298479,78.94666627742062,74.33333333333333
global_min_cost,20,0.1675,300,218,72.66666666666667,67.36074258805684,77.39944271643041,72.66666666666667
global_min_cost,20,0.17,300,210,70.0,64.58824752950584,74.90603362151231,70.0
global_min_cost,20,0.175,300,195,65.0,59.44391111549903,70.17679974776459,65.0
global_min_cost,20,0.18,300,183,61.0,55.3748567961591,66.34699783690088,61.0
global_min_cost,24,0.145,300,260,86.66666666666667,82.35282379361117,90.0533583165888,86.66666666666667
global_min_cost,24,0.15,300,249,83.0,78.33857374317239,86.82699015600757,83.0
global_min_cost,24,0.1525,300,248,82.66666666666667,77.9773859297431,86.52993995025324,82.66666666666667
global_min_cost,24,0.155,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
global_min_cost,24,0.1575,300,241,80.33333333333333,75.46412316550143,84.43553658020944,80.33333333333333
global_min_cost,24,0.16,300,238,79.33333333333333,74.3944983244025,83.53044736375746,79.33333333333333
global_min_cost,24,0.1625,300,234,78.0,72.97473820840871,82.31725540301672,78.0
global_min_cost,24,0.165,300,232,77.33333333333333,72.26746795338673,81.70804961967141,77.33333333333333
global_min_cost,24,0.1675,300,228,76.0,70.85788119154635,80.48468430477726,76.0
global_min_cost,24,0.17,300,221,73.66666666666667,68.40604965627418,78.32884970576399,73.66666666666667
global_min_cost,24,0.175,300,210,70.0,64.58824752950584,74.90603362151231,70.0
global_min_cost,24,0.18,300,201,67.0,61.493585339915015,72.07655363845043,67.0
global_min_cost,32,0.145,300,268,89.33333333333333,85.32967116826326,92.34241509540578,89.33333333333333
global_min_cost,32,0.15,300,256,85.33333333333334,80.88374877749912,88.8894812559663,85.33333333333334
global_min_cost,32,0.1525,300,255,85.0,80.5182388854671,88.59675312881467,85.0
global_min_cost,32,0.155,300,251,83.66666666666667,79.06268325698748,87.41935668055973,83.66666666666667
global_min_cost,32,0.1575,300,247,82.33333333333334,77.61675879076233,86.23232907005035,82.33333333333334
global_min_cost,32,0.16,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
global_min_cost,32,0.1625,300,240,80.0,75.10710762322137,84.13431410330587,80.0
global_min_cost,32,0.165,300,239,79.66666666666666,74.75056887150939,83.8326148358342,79.66666666666666
global_min_cost,32,0.1675,300,237,79.0,74.03888774230657,83.22781992666975,79.0
global_min_cost,32,0.17,300,232,77.33333333333333,72.26746795338673,81.70804961967141,77.33333333333333
global_min_cost,32,0.175,300,221,73.66666666666667,68.40604965627418,78.32884970576399,73.66666666666667
global_min_cost,32,0.18,300,210,70.0,64.58824752950584,74.90603362151231,70.0
greedy,20,0.145,300,257,85.66666666666667,81.24994228503401,89.18152576761503,85.66666666666667
greedy,20,0.15,300,245,81.66666666666667,76.89713823226987,85.63547359017554,81.66666666666667
greedy,20,0.1525,300,244,81.33333333333333,76.53812201652491,85.33625178673687,81.33333333333333
greedy,20,0.155,300,239,79.66666666666666,74.75056887150939,83.8326148358342,79.66666666666666
greedy,20,0.1575,300,236,78.66666666666666,73.68372921361544,82.92474043617723,78.66666666666666
greedy,20,0.16,300,232,77.33333333333333,72.26746795338673,81.70804961967141,77.33333333333333
greedy,20,0.1625,300,227,75.66666666666667,70.5064816022118,80.17784587492817,75.66666666666667
greedy,20,0.165,300,222,74.0,68.75519770721527,78.63793967400652,74.0
