algorithm,responder_count,n_worlds,target_reachability_pct,reliability_target_pct,boundary_status,boundary_lower_severity,boundary_upper_severity,boundary_point_estimate,bootstrap_boundary_median,bootstrap_ci_low,bootstrap_ci_high,bootstrap_finite_fraction
global_min_cost,12,300,80.0,80.0,within_grid,0.14,0.145,0.1425,0.1425,0.134,0.1484615384615384,0.998
global_min_cost,14,300,80.0,80.0,within_grid,0.145,0.15,0.1491666666666666,0.1491666666666666,0.1425,0.156,1.0
global_min_cost,16,300,80.0,80.0,within_grid,0.1525,0.155,0.1525,0.1525,0.1453333333333333,0.16,0.9998
global_min_cost,20,300,80.0,80.0,within_grid,0.1525,0.155,0.1545,0.1545,0.147,0.1632142857142857,0.9962
global_min_cost,24,300,80.0,80.0,within_grid,0.1575,0.16,0.1583333333333333,0.1583333333333333,0.1484615384615384,0.1682142857142857,0.9996
global_min_cost,32,300,80.0,80.0,within_grid,0.1625,0.165,0.1625,0.1637499999999999,0.1541666666666666,0.1727272727272727,0.9998
greedy,12,300,80.0,80.0,within_grid,0.14,0.145,0.1425,0.1426470588235294,0.134,0.1486446969696969,0.998
greedy,14,300,80.0,80.0,within_grid,0.145,0.15,0.1491666666666666,0.1492857142857142,0.1424999999999999,0.1554166666666666,0.9998
greedy,16,300,80.0,80.0,within_grid,0.1525,0.155,0.1525,0.1525,0.145,0.16,0.9996
greedy,20,300,80.0,80.0,within_grid,0.1525,0.155,0.1545,0.1545,0.147,0.1633333333333333,0.9982
greedy,24,300,80.0,80.0,within_grid,0.1575,0.16,0.1583333333333333,0.1583333333333333,0.148,0.16825,0.999
greedy,32,300,80.0,80.0,within_grid,0.1625,0.165,0.1625,0.1625,0.15375,0.1715,1.0
