severity_control,responder_count,algorithm,n_realizations,mean_reachability_pct,mean_weighted_unmet_demand,mean_total_response_s,mean_p90_response_s,collapse_probability_pct,target_service_probability_pct,zero_assignment_probability_pct,mean_failed_directed_edges
0.1,8,global_min_cost,50,74.0,7.76,4950.908319824469,1318.1124535264423,0.0,54.0,0.0,1138.92
0.1,8,greedy,50,73.8,8.28,6852.245653421827,1789.4954950858871,0.0,54.0,0.0,1138.92
0.1,10,global_min_cost,50,87.6,3.68,5946.0506925101745,1310.3210867622086,0.0,94.0,0.0,1138.92
0.1,10,greedy,50,87.4,3.92,7187.397135031846,1611.7416202181118,0.0,92.0,0.0,1138.92
0.1,12,global_min_cost,50,90.8,2.8,5093.851827872487,1086.0852907660437,0.0,96.0,0.0,1138.92
0.1,12,greedy,50,90.6,2.86,5826.5016273495185,1212.3463685083175,0.0,94.0,0.0,1138.92
0.1,14,global_min_cost,50,91.0,2.74,4366.2410984097,881.724947001387,0.0,96.0,0.0,1138.92
0.1,14,greedy,50,90.8,2.8,4830.509261881507,1005.2132392674196,0.0,94.0,0.0,1138.92
0.1,16,global_min_cost,50,91.2,2.66,3748.5862421452325,741.9345343146462,0.0,96.0,0.0,1138.92
0.1,16,greedy,50,91.0,2.72,4135.080208439431,813.9317566855165,0.0,94.0,0.0,1138.92
0.1,20,global_min_cost,50,91.4,2.56,3068.8466071837465,612.5334140846339,0.0,96.0,0.0,1138.92
0.1,20,greedy,50,91.4,2.56,3341.2219530193734,668.1979195417646,0.0,96.0,0.0,1138.92
0.1,24,global_min_cost,50,91.6,2.48,2646.657911287109,517.5994131556515,0.0,96.0,0.0,1138.92
0.1,24,greedy,50,91.6,2.48,2777.18728489677,550.4762030456347,0.0,96.0,0.0,1138.92
0.1,32,global_min_cost,50,92.0,2.32,2192.8038034896363,449.0686152426573,0.0,96.0,0.0,1138.92
0.1,32,greedy,50,92.0,2.32,2263.5688446355107,460.8641474232468,0.0,96.0,0.0,1138.92
0.12,8,global_min_cost,50,73.6,7.52,4546.513095906843,1216.506643130938,0.0,48.0,0.0,1369.46
0.12,8,greedy,50,73.4,7.62,6318.490237991896,1681.7228302217468,0.0,48.0,0.0,1369.46
0.12,10,global_min_cost,50,85.8,4.28,5412.736812320697,1261.6305924535839,0.0,86.0,0.0,1369.46
0.12,10,greedy,50,85.8,4.32,6552.074988037118,1532.7310336215573,0.0,86.0,0.0,1369.46
0.12,12,global_min_cost,50,89.6,2.9,4786.711149643079,1045.5038153908602,0.0,92.0,0.0,1369.46
0.12,12,greedy,50,89.6,3.14,5510.540884602274,1158.5678003925937,0.0,92.0,0.0,1369.46
0.12,14,global_min_cost,50,90.8,2.6,4202.781051880065,848.0291526999396,0.0,92.0,0.0,1369.46
0.12,14,greedy,50,90.8,2.6,4672.343331702908,964.8720478622486,0.0,92.0,0.0,1369.46
0.12,16,global_min_cost,50,91.0,2.5,3795.4387782639515,768.9119244798685,0.0,92.0,0.0,1369.46
0.12,16,greedy,50,91.0,2.5,4142.280902914885,849.6024741844043,0.0,92.0,0.0,1369.46
0.12,20,global_min_cost,50,91.2,2.46,3209.54934175331,652.3339987872903,0.0,94.0,0.0,1369.46
0.12,20,greedy,50,91.2,2.46,3372.3977588473667,677.4359819184715,0.0,94.0,0.0,1369.46
0.12,24,global_min_cost,50,91.4,2.38,2775.3683871930943,554.5628591861216,0.0,94.0,0.0,1369.46
0.12,24,greedy,50,91.4,2.38,2892.933945371815,576.6726149805492,0.0,94.0,0.0,1369.46
0.12,32,global_min_cost,50,91.4,2.38,2257.067042018983,444.39896461293074,0.0,94.0,0.0,1369.46
0.12,32,greedy,50,91.4,2.38,2363.547718168402,469.7705819013738,0.0,94.0,0.0,1369.46
0.13,8,global_min_cost,50,69.0,9.34,4900.226845205554,1415.1113882014497,0.0,28.000000000000004,0.0,1479.04
0.13,8,greedy,50,68.8,9.76,6712.867635822376,1906.1867859075037,0.0,26.0,0.0,1479.04
0.13,10,global_min_cost,50,83.2,5.24,6023.9117021561615,1447.3137342940092,0.0,76.0,0.0,1479.04
0.13,10,greedy,50,83.0,5.26,7359.656357230891,1727.7886285660102,0.0,74.0,0.0,1479.04
0.13,12,global_min_cost,50,88.8,3.38,5609.650532021679,1278.2876718402704,0.0,92.0,0.0,1479.04
0.13,12,greedy,50,88.8,3.52,6628.9481109881435,1472.407286806032,0.0,92.0,0.0,1479.04
0.13,14,global_min_cost,50,90.6,2.84,4820.440636873175,1018.921768569543,0.0,94.0,0.0,1479.04
0.13,14,greedy,50,90.6,2.92,5392.9694720477655,1104.1539250107135,0.0,94.0,0.0,1479.04
0.13,16,global_min_cost,50,90.8,2.82,4330.660988427266,906.286194729707,0.0,94.0,0.0,1479.04
0.13,16,greedy,50,90.8,2.82,4689.385987850429,983.0698703996911,0.0,94.0,0.0,1479.04
0.13,20,global_min_cost,50,91.0,2.78,3560.3321050740296,761.9145462640062,0.0,94.0,0.0,1479.04
0.13,20,greedy,50,90.8,2.82,3769.0006772890138,789.7213775913816,0.0,94.0,0.0,1479.04
0.13,24,global_min_cost,50,91.2,2.68,2957.1646519035594,619.3724283746668,0.0,94.0,0.0,1479.04
0.13,24,greedy,50,90.8,2.82,3080.2248012520863,615.5410021563055,0.0,94.0,0.0,1479.04
0.13,32,global_min_cost,50,91.2,2.68,2384.979093528282,495.29972353558884,0.0,94.0,0.0,1479.04
0.13,32,greedy,50,91.2,2.68,2461.6667728401344,509.65195507761223,0.0,94.0,0.0,1479.04
0.14,8,global_min_cost,50,68.4,8.74,4629.855849043051,1319.4594841269,0.0,26.0,0.0,1596.66
0.14,8,greedy,50,68.2,8.98,6497.141924765472,1734.2400383972233,0.0,24.0,0.0,1596.66
0.14,10,global_min_cost,50,80.4,5.54,5318.9276730679485,1285.6670114707895,0.0,68.0,0.0,1596.66
0.14,10,greedy,50,79.8,5.74,6465.427203867537,1552.9327135075905,0.0,68.0,0.0,1596.66
0.14,12,global_min_cost,50,86.2,3.98,4865.9760314969435,1080.7505150868392,0.0,84.0,0.0,1596.66
0.14,12,greedy,50,85.8,4.12,5785.172012949101,1296.682991943577,0.0,84.0,0.0,1596.66
0.14,14,global_min_cost,50,87.6,3.54,4163.884146146203,926.1098558006859,0.0,86.0,0.0,1596.66
0.14,14,greedy,50,87.2,3.6,4694.99327788475,1007.547077724355,0.0,86.0,0.0,1596.66
0.14,16,global_min_cost,50,87.8,3.46,3608.897761814194,780.9154377529525,0.0,86.0,0.0,1596.66
0.14,16,greedy,50,87.6,3.42,3984.4560695023483,836.3240020550063,0.0,86.0,0.0,1596.66
0.14,20,global_min_cost,50,88.0,3.38,3069.6274189230094,649.6830637639891,0.0,86.0,0.0,1596.66
0.14,20,greedy,50,87.8,3.38,3260.7381567202483,688.0363733776431,0.0,86.0,0.0,1596.66
0.14,24,global_min_cost,50,88.4,3.22,2742.5127597352093,576.1495233307488,0.0,86.0,0.0,1596.66
0.14,24,greedy,50,88.2,3.22,2890.37039006793,614.3539411756377,0.0,86.0,0.0,1596.66
0.14,32,global_min_cost,50,89.0,2.96,2208.919362216522,455.8835490328544,0.0,88.0,0.0,1596.66
0.14,32,greedy,50,89.0,2.9,2306.6293697179467,467.59989840350454,0.0,88.0,0.0,1596.66
0.15,8,global_min_cost,50,65.6,10.12,4553.557582153274,1229.2501802966797,0.0,24.0,0.0,1718.52
0.15,8,greedy,50,65.6,10.2,5979.23324994643,1665.135481859371,0.0,24.0,0.0,1718.52
0.15,10,global_min_cost,50,75.2,7.42,4771.094012577399,1189.5847940388592,0.0,52.0,0.0,1718.52
0.15,10,greedy,50,75.2,7.1,5650.781606619312,1404.5808625889713,0.0,52.0,0.0,1718.52
0.15,12,global_min_cost,50,78.6,6.4,4164.813021407079,994.7674135012364,0.0,60.0,0.0,1718.52
0.15,12,greedy,50,78.6,6.26,4776.532406816053,1107.7592376354064,0.0,60.0,0.0,1718.52
0.15,14,global_min_cost,50,80.4,5.78,3631.270107965322,857.5131662926458,0.0,64.0,0.0,1718.52
0.15,14,greedy,50,80.4,5.82,3969.384050513335,926.846013861769,0.0,64.0,0.0,1718.52
0.15,16,global_min_cost,50,81.2,5.58,3295.4548015253695,754.2511615590005,0.0,66.0,0.0,1718.52
0.15,16,greedy,50,81.0,5.7,3596.3060864823615,826.7323638870361,0.0,66.0,0.0,1718.52
0.15,20,global_min_cost,50,82.0,5.32,2814.584496069621,671.4376549848625,0.0,68.0,0.0,1718.52
0.15,20,greedy,50,81.8,5.4,2933.9477877022982,694.7903744193593,0.0,68.0,0.0,1718.52
0.15,24,global_min_cost,50,82.8,5.1,2554.369968078905,599.3937747876738,0.0,68.0,0.0,1718.52
0.15,24,greedy,50,82.6,5.18,2625.8434722875472,608.0819792643745,0.0,68.0,0.0,1718.52
0.15,32,global_min_cost,50,84.2,4.7,2216.819383621573,511.3859223275046,0.0,74.0,0.0,1718.52
0.15,32,greedy,50,84.0,4.76,2246.949267535355,505.4489658084191,0.0,72.0,0.0,1718.52
0.16,8,global_min_cost,50,66.2,9.98,4740.293121233251,1394.122483215887,0.0,18.0,0.0,1825.32
0.16,8,greedy,50,65.8,10.08,6264.689043680693,1821.8641332163409,0.0,18.0,0.0,1825.32
0.16,10,global_min_cost,50,77.8,6.66,5493.859567778687,1342.1382408728302,0.0,64.0,0.0,1825.32
0.16,10,greedy,50,77.2,6.54,6413.747473305568,1560.7709862929823,0.0,64.0,0.0,1825.32
0.16,12,global_min_cost,50,81.8,5.3,5108.047505331193,1186.7706523264965,0.0,76.0,0.0,1825.32
0.16,12,greedy,50,81.4,5.4,5584.286612248794,1321.169116212058,0.0,76.0,0.0,1825.32
0.16,14,global_min_cost,50,83.0,4.92,4432.76165684143,1016.2952819279179,0.0,78.0,0.0,1825.32
0.16,14,greedy,50,82.2,5.26,4619.384305934346,1066.153792121248,0.0,78.0,0.0,1825.32
0.16,16,global_min_cost,50,83.6,4.8,4158.6166103527985,969.4840678566885,0.0,82.0,0.0,1825.32
