severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.1,8,0,5050,greedy,1079,10,10,8,2,80.0,1028.52510281153,1020.6803736816556,1508.9005299648468,8228.200822492241,9
0.1,8,0,5050,global_min_cost,1079,10,10,8,2,80.0,974.0913227476861,961.4579507579226,1555.6215231676683,7792.73058198149,9
0.1,10,0,5050,greedy,1079,10,10,8,2,80.0,740.0919130409105,667.124124138714,1124.3905436965629,5920.735304327285,9
0.1,10,0,5050,global_min_cost,1079,10,10,8,2,80.0,689.013574512786,639.695800859448,1002.3740905132087,5512.108596102289,9
0.1,12,0,5050,greedy,1079,10,10,8,2,80.0,666.6793206757545,667.124124138714,1100.2096661519706,5333.434565406036,9
0.1,12,0,5050,global_min_cost,1079,10,10,8,2,80.0,614.8906410827847,612.3674508640548,1060.3985443802974,4919.125128662277,9
0.1,14,0,5050,greedy,1079,10,10,8,2,80.0,651.6222648805394,667.124124138714,1032.721792036949,5212.9781190443155,9
0.1,14,0,5050,global_min_cost,1079,10,10,8,2,80.0,599.8335852875696,612.3674508640548,1008.9841696467249,4798.6686823005575,9
0.1,16,0,5050,greedy,1079,10,10,8,2,80.0,607.5965523085604,607.901701214981,994.685023053833,4860.772418468483,9
0.1,16,0,5050,global_min_cost,1079,10,10,8,2,80.0,530.5105708203128,544.6547034712853,847.4306559351598,4244.084566562502,9
0.1,20,0,5050,greedy,1079,10,10,8,2,80.0,445.6405392160105,376.7664901936379,760.1479264297988,3565.1243137280835,9
0.1,20,0,5050,global_min_cost,1079,10,10,8,2,80.0,376.23901767267085,291.8620389501831,638.1035560994546,3009.9121413813664,9
0.1,24,0,5050,greedy,1079,10,10,8,2,80.0,338.8784110462746,261.96772998709946,621.673102044747,2711.027288370197,9
0.1,24,0,5050,global_min_cost,1079,10,10,8,2,80.0,321.01100684824974,244.42809160694668,592.4323043454656,2568.088054785998,9
0.1,32,0,5050,greedy,1079,10,10,8,2,80.0,264.77888144549735,189.22087451476915,568.7875331960605,2118.2310515639783,9
0.1,32,0,5050,global_min_cost,1079,10,10,8,2,80.0,252.55434020228248,195.23063817377135,520.9947910020218,2020.4347216182598,9
0.1,8,1,5051,greedy,1129,10,10,7,3,70.0,1398.6651657668922,1415.1695708308466,2579.858168454904,9790.656160368246,8
0.1,8,1,5051,global_min_cost,1129,10,10,7,3,70.0,1176.9390944424658,647.7246978490423,2545.755524612433,8238.57366109726,8
0.1,10,1,5051,greedy,1129,10,10,8,2,80.0,1104.964824731894,960.1478718247504,2005.4006950469384,8839.718597855152,6
0.1,10,1,5051,global_min_cost,1129,10,10,8,2,80.0,942.0477042973079,639.9193901003422,1940.3787274902545,7536.381634378462,6
0.1,12,1,5051,greedy,1129,10,10,8,2,80.0,985.9755289765526,960.1478718247504,1609.8725009881543,7887.804231812421,6
0.1,12,1,5051,global_min_cost,1129,10,10,8,2,80.0,883.4741457411949,720.1271986369716,1654.8490618708624,7067.793165929559,6
0.1,14,1,5051,greedy,1129,10,10,8,2,80.0,578.1194039976219,518.0068329779625,968.5582186404779,4624.955231980975,6
0.1,14,1,5051,global_min_cost,1129,10,10,8,2,80.0,496.88881185180503,564.9318846944623,734.7382233399536,3975.1104948144402,6
0.1,16,1,5051,greedy,1129,10,10,8,2,80.0,500.16477179556773,508.8505745766397,836.4403472472046,4001.318174364542,6
0.1,16,1,5051,global_min_cost,1129,10,10,8,2,80.0,425.26405624517014,406.1301170235523,706.4684434398227,3402.112449961361,6
0.1,20,1,5051,greedy,1129,10,10,8,2,80.0,455.1198026134644,426.68325484236146,801.2834024130327,3640.9584209077148,6
0.1,20,1,5051,global_min_cost,1129,10,10,8,2,80.0,371.3439790704951,334.00710490583526,676.0200417168228,2970.7518325639608,6
0.1,24,1,5051,greedy,1129,10,10,8,2,80.0,349.57544761921883,289.41623292814586,591.8607835498862,2796.60358095375,6
0.1,24,1,5051,global_min_cost,1129,10,10,8,2,80.0,331.96592869858586,259.6558884858966,636.9960652578591,2655.7274295886873,6
0.1,32,1,5051,greedy,1129,10,10,8,2,80.0,349.57544761921883,289.41623292814586,591.8607835498862,2796.60358095375,6
0.1,32,1,5051,global_min_cost,1129,10,10,8,2,80.0,331.96592869858586,259.6558884858966,636.9960652578591,2655.7274295886873,6
0.1,8,2,5052,greedy,1102,10,10,7,3,70.0,751.3371836435387,409.75463607317715,1630.559478838254,5259.36028550477,5
0.1,8,2,5052,global_min_cost,1102,10,10,7,3,70.0,294.4411518399652,197.1568537967584,532.7098601450575,2061.088062879756,11
0.1,10,2,5052,greedy,1102,10,10,9,1,90.0,669.0439965703446,472.69570814095545,1239.8399400810063,6021.395969133102,2
0.1,10,2,5052,global_min_cost,1102,10,10,9,1,90.0,333.62061309733303,365.6249406013318,532.6196328730889,3002.5855178759975,5
0.1,12,2,5052,greedy,1102,10,10,10,0,100.0,512.1543273187833,298.61077119981695,908.2244387000823,5121.543273187834,0
0.1,12,2,5052,global_min_cost,1102,10,10,10,0,100.0,468.8343491817202,281.39089719904507,686.04093085089,4688.3434918172015,0
0.1,14,2,5052,greedy,1102,10,10,10,0,100.0,500.95937661541814,298.61077119981695,908.2244387000823,5009.593766154181,0
0.1,14,2,5052,global_min_cost,1102,10,10,10,0,100.0,460.8191047186661,241.31467488377473,686.04093085089,4608.19104718666,0
0.1,16,2,5052,greedy,1102,10,10,10,0,100.0,459.91074051638026,223.51815878717525,908.2244387000823,4599.1074051638025,0
0.1,16,2,5052,global_min_cost,1102,10,10,10,0,100.0,424.80988489365313,193.55592296080215,648.4583258141506,4248.098848936531,0
0.1,20,2,5052,greedy,1102,10,10,10,0,100.0,359.5610348021806,185.36003296387025,600.7339501308857,3595.610348021806,0
0.1,20,2,5052,global_min_cost,1102,10,10,10,0,100.0,359.5610348021806,185.36003296387025,600.7339501308857,3595.6103480218057,0
0.1,24,2,5052,greedy,1102,10,10,10,0,100.0,242.7155166295563,179.8100577976258,498.1415689337806,2427.1551662955635,0
0.1,24,2,5052,global_min_cost,1102,10,10,10,0,100.0,242.7155166295563,179.8100577976258,498.1415689337806,2427.1551662955626,0
0.1,32,2,5052,greedy,1102,10,10,10,0,100.0,215.72943044269377,153.29486197577415,498.1415689337806,2157.2943044269377,0
0.1,32,2,5052,global_min_cost,1102,10,10,10,0,100.0,215.72943044269377,153.29486197577415,498.1415689337806,2157.2943044269377,0
0.1,8,3,5053,greedy,1150,10,10,7,3,70.0,1083.1460691735963,842.3955193808773,2094.7160797193555,7582.022484215174,10
0.1,8,3,5053,global_min_cost,1150,10,10,7,3,70.0,630.0339998569881,638.483491480365,1028.5410446981068,4410.237998998917,8
0.1,10,3,5053,greedy,1150,10,10,9,1,90.0,831.5488579516099,674.5657715502691,1764.8238153550953,7483.939721564489,3
0.1,10,3,5053,global_min_cost,1150,10,10,9,1,90.0,731.3334083727963,659.2780707662819,1395.775395534982,6582.000675355165,3
0.1,12,3,5053,greedy,1150,10,10,9,1,90.0,664.1939597369358,534.8981180688533,1449.2268391371817,5977.745637632422,3
0.1,12,3,5053,global_min_cost,1150,10,10,9,1,90.0,594.7845404031569,534.8981180688533,1395.775395534982,5353.060863628411,3
0.1,14,3,5053,greedy,1150,10,10,9,1,90.0,526.3415402299261,445.95193250190323,913.6752686431323,4737.073862069335,3
0.1,14,3,5053,global_min_cost,1150,10,10,9,1,90.0,508.0056023679578,503.74698628672496,952.701067255348,4572.05042131162,3
0.1,16,3,5053,greedy,1150,10,10,9,1,90.0,500.16651733050253,381.61939505310664,913.6752686431323,4501.498655974523,3
0.1,16,3,5053,global_min_cost,1150,10,10,9,1,90.0,479.7274256619398,337.388178351162,952.701067255348,4317.546830957458,3
0.1,20,3,5053,greedy,1150,10,10,9,1,90.0,492.3198063738739,326.60262127842566,913.6752686431323,4430.878257364866,3
0.1,20,3,5053,global_min_cost,1150,10,10,9,1,90.0,473.98386851190565,326.60262127842566,952.701067255348,4265.8548166071505,3
0.1,24,3,5053,greedy,1150,10,10,9,1,90.0,397.0500597885658,296.52242122497796,805.31866917608,3573.4505380970922,3
0.1,24,3,5053,global_min_cost,1150,10,10,9,1,90.0,372.8630434825074,176.67357779813926,767.787131979518,3355.767391342567,3
0.1,32,3,5053,greedy,1150,10,10,9,1,90.0,393.85162926535935,296.52242122497796,805.31866917608,3544.6646633882337,3
0.1,32,3,5053,global_min_cost,1150,10,10,9,1,90.0,369.6646129593009,176.67357779813926,767.787131979518,3326.9815166337085,3
0.1,8,4,5054,greedy,1070,10,10,6,4,60.0,525.2500806771162,528.3916160197927,949.4460563391617,3151.5004840626975,14
0.1,8,4,5054,global_min_cost,1070,10,10,6,4,60.0,280.5884601756413,200.6477327595083,592.3166101730471,1683.5307610538475,10
0.1,10,4,5054,greedy,1070,10,10,8,2,80.0,588.6652844725601,457.417849309104,1134.7109273309422,4709.322275780481,7
0.1,10,4,5054,global_min_cost,1070,10,10,8,2,80.0,387.53872748255134,284.69016182998894,795.0394169215731,3100.309819860411,7
0.1,12,4,5054,greedy,1070,10,10,10,0,100.0,780.1895465820211,714.0592702928952,1637.4229215428281,7801.89546582021,0
0.1,12,4,5054,global_min_cost,1070,10,10,10,0,100.0,622.4010677331581,413.49814963864344,1243.5927850140738,6224.010677331581,0
0.1,14,4,5054,greedy,1070,10,10,10,0,100.0,604.0965300203469,387.4762197960929,1420.5243563827366,6040.965300203469,0
0.1,14,4,5054,global_min_cost,1070,10,10,10,0,100.0,399.5628204187503,287.9411877435806,784.8281587695086,3995.6282041875033,0
0.1,16,4,5054,greedy,1070,10,10,10,0,100.0,438.4955232470162,287.9411877435806,857.3688536753543,4384.955232470162,0
0.1,16,4,5054,global_min_cost,1070,10,10,10,0,100.0,339.42510057751906,287.9411877435806,597.0780326374276,3394.2510057751906,0
0.1,20,4,5054,greedy,1070,10,10,10,0,100.0,302.44326102324754,236.46384070893737,504.62162673341754,3024.432610232476,0
0.1,20,4,5054,global_min_cost,1070,10,10,10,0,100.0,295.9901139327301,283.74871699608116,468.1210395230777,2959.9011393273017,0
